date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-04,17.0,-89.0,6,657.69763,727.25775,167.18204
2024-06-04,17.0,-88.5,1,44.667065,425.54556,44.667065
2024-06-04,17.5,-97.0,1,95.880325,,95.880325
2024-06-04,17.5,-96.0,1,30.744589,410.10834,30.744589
2024-06-04,17.5,-95.5,2,104.482834,512.4554,54.052128
2024-06-04,17.5,-95.0,4,215.89493,604.52924,75.1207
2024-06-04,17.5,-94.5,5,592.1501,1009.4674,274.56494
2024-06-04,17.5,-94.0,4,331.86252,524.5964,140.23068
2024-06-04,17.5,-93.5,5,393.23267,643.1497,97.750694
2024-06-04,17.5,-93.0,5,540.86365,489.82147,179.27654
2024-06-04,17.5,-92.5,1,43.12778,780.60126,43.12778
2024-06-04,17.5,-92.0,3,253.7933,790.1602,96.90142
2024-06-04,17.5,-91.5,2,223.17195,662.4874,127.579895
2024-06-04,17.5,-91.0,1,71.39629,594.5857,71.39629
2024-06-04,17.5,-90.5,1,34.99267,519.2126,34.99267
2024-06-04,18.0,-96.0,2,95.3295,579.4781,52.27916
2024-06-04,18.0,-95.5,4,285.67563,739.0691,89.60177
2024-06-04,18.0,-93.0,11,1131.7714,933.05054,167.29016
2024-06-04,18.0,-92.5,8,837.0624,1080.116,261.69345
2024-06-04,18.0,-92.0,2,115.36658,464.33084,61.740337
2024-06-04,18.0,-91.5,5,463.90796,649.35754,145.69528
2024-06-04,18.0,-91.0,3,541.1162,747.4195,286.44025
2024-06-04,18.0,-90.5,3,150.52034,455.8706,61.56344
2024-06-04,18.0,-89.5,2,104.24688,448.2344,55.54443
2024-06-04,18.0,-89.0,2,67.409775,620.1312,34.021927
2024-06-04,18.5,-103.5,1,51.780262,,51.780262
2024-06-04,18.5,-97.5,6,834.33563,,171.91249
2024-06-04,18.5,-96.0,1,215.212,,215.212
2024-06-04,18.5,-91.5,1,65.677376,658.47705,65.677376
2024-06-04,18.5,-91.0,2,153.7338,594.36597,90.89718
2024-06-04,18.5,-90.5,1,124.60751,885.5303,124.60751
2024-06-04,18.5,-89.0,5,342.2796,567.66675,110.13895
2024-06-04,18.5,-88.5,7,606.8021,962.00214,143.16692
2024-06-04,19.0,-102.0,4,640.12476,761.75793,236.82535
2024-06-04,19.0,-96.5,4,737.50775,789.1714,228.26315
2024-06-04,19.0,-90.0,2,122.27944,541.4619,66.74143
2024-06-04,19.0,-89.5,2,124.469696,941.6206,79.25294
2024-06-04,19.0,-88.5,1,56.93741,423.34808,56.93741
2024-06-04,19.5,-105.5,1,50.722885,605.7928,50.722885
2024-06-04,19.5,-98.0,5,1180.6477,570.13885,468.77884
2024-06-04,19.5,-97.0,1,33.643787,440.10376,33.643787
2024-06-04,19.5,-89.0,6,487.4225,536.29785,101.664345
2024-06-04,20.0,-105.5,1,54.93974,439.2248,54.93974
2024-06-04,20.0,-105.0,3,455.94318,,219.1709
2024-06-04,20.0,-98.5,1,35.92386,411.0972,35.92386
2024-06-04,20.0,-90.0,1,58.021217,695.1747,58.021217
2024-06-04,20.0,-89.5,3,262.31476,586.56494,141.6156
2024-06-04,20.0,-89.0,1,67.31957,484.27286,67.31957
2024-06-04,20.5,-90.5,2,150.37767,822.0235,80.38593
2024-06-04,20.5,-89.0,1,46.26768,439.8291,46.26768
2024-06-04,20.5,-88.0,2,83.03944,637.656,50.684166
2024-06-04,20.5,-87.5,1,24.026577,416.9205,24.026577
2024-06-04,21.0,-104.0,1,44.90665,403.35114,44.90665
2024-06-04,21.0,-88.0,1,56.482414,408.89975,56.482414
2024-06-04,21.0,-87.5,3,490.40524,723.577,284.82333
2024-06-04,21.0,-87.0,1,87.3416,590.02594,87.3416
2024-06-04,22.0,-105.0,1,38.84738,458.17792,38.84738
2024-06-04,23.0,-99.5,1,44.680325,524.70624,44.680325
