time,lat,lon,Mask,Temp,Power,Area
2018-06-02T19:58:47,22.8119,-105.3655,10,445.7073,44.4098,0.0721
2018-06-02T19:58:47,22.7908,-105.3592,10,412.9101,61.1110,0.1960
2018-06-02T19:58:47,22.7899,-105.3341,10,403.0215,51.7986,0.2095
2018-06-02T19:58:47,22.7688,-105.3278,10,427.9628,56.6571,0.1309
2018-06-02T19:58:47,22.7188,-103.8431,10,458.8921,61.1035,0.0786
2018-06-02T19:58:47,22.7494,-105.3716,10,477.2410,41.9531,0.0389
2018-06-02T19:58:47,22.7485,-105.3466,10,430.3250,71.0841,0.1564
2018-06-02T19:58:47,22.4732,-103.3415,13,,182.7668,
2018-06-02T19:58:47,22.3268,-105.2228,10,607.6606,52.8727,0.0092
2018-06-02T19:58:47,22.0133,-104.5457,10,413.8990,40.2034,0.1269
2018-06-02T19:58:47,21.9357,-102.7470,10,404.6147,42.9470,0.1727
2018-06-02T19:58:47,21.5427,-88.4252,13,,44.9750,
2018-06-02T19:58:47,21.6913,-104.1909,100,,16.0718,0.0040
2018-06-02T19:58:47,21.6335,-102.3167,10,602.9910,46.7531,0.0086
2018-06-02T19:58:47,21.1465,-103.9028,14,,92.0336,
2018-06-02T19:58:47,20.6577,-98.0450,10,581.8404,49.2720,0.0112
2018-06-02T19:58:47,20.7279,-104.2987,10,484.8222,110.1643,0.0908
2018-06-02T19:58:47,20.6150,-101.1017,100,,6.8200,0.0040
2018-06-02T19:58:47,20.5219,-97.4679,10,400.7142,26.6072,0.1121
2018-06-02T19:58:47,20.1759,-104.9519,10,440.2686,68.5914,0.1234
2018-06-02T19:58:47,20.0044,-101.8179,100,,13.8434,0.0040
2018-06-02T19:58:47,19.9678,-101.2121,100,,15.3991,0.0040
2018-06-02T19:58:47,20.0630,-105.2619,10,508.0604,61.3983,0.0355
2018-06-02T19:58:47,19.7936,-96.5531,10,447.3554,32.2119,0.0503
2018-06-02T19:58:47,19.7214,-98.6635,14,,79.1309,
2018-06-02T19:58:47,19.8647,-104.7523,10,447.4103,43.3000,0.0680
2018-06-02T19:58:47,19.7012,-98.6596,13,,259.9317,
2018-06-02T19:58:47,19.6148,-96.6525,10,487.5141,54.9543,0.0431
2018-06-02T19:58:47,19.7134,-102.2851,100,,7.3527,0.0040
2018-06-02T19:58:47,19.7470,-104.8912,10,492.2387,52.4169,0.0383
2018-06-02T19:58:47,19.5078,-96.3537,14,,55.0614,
2018-06-02T19:58:47,19.6814,-104.7305,10,422.0296,41.5038,0.1086
2018-06-02T19:58:47,19.6800,-104.6822,10,424.7215,38.9885,0.0962
2018-06-02T19:58:47,19.6609,-104.7255,10,419.1180,37.9402,0.1057
2018-06-02T19:58:47,19.5631,-104.8453,10,2290.2610,273.9917,0.0040
2018-06-02T19:58:47,19.5434,-104.8645,14,,64.9716,
2018-06-02T19:58:47,19.5427,-104.8403,14,,64.5505,
2018-06-02T19:58:47,19.4766,-104.6561,10,637.1067,52.1278,0.0069
2018-06-02T19:58:47,19.3004,-99.5613,10,478.3946,35.9318,0.0328
2018-06-02T19:58:47,19.3059,-102.1489,10,414.5582,60.1565,0.1841
2018-06-02T19:58:47,19.2279,-100.6930,10,406.0430,46.8649,0.1757
2018-06-02T19:58:47,19.2077,-100.6889,10,448.9486,46.8880,0.0714
2018-06-02T19:58:47,18.9639,-100.5723,10,427.5782,38.5953,0.0896
2018-06-02T19:58:47,18.9654,-103.7042,10,419.7223,47.4515,0.1303
2018-06-02T19:58:47,18.7857,-96.2578,14,,33.1306,
2018-06-02T19:58:47,18.7835,-101.3742,10,407.2516,28.4108,0.1041
2018-06-02T19:58:47,18.5806,-95.9690,10,590.8500,45.3266,0.0094
2018-06-02T19:58:47,18.4860,-96.2106,10,425.4906,22.6443,0.0551
2018-06-02T19:58:47,18.0187,-71.3160,30,521.6298,44.5335,0.0212
2018-06-02T19:58:47,17.9991,-71.3165,30,518.8829,52.3796,0.0259
2018-06-02T19:58:47,17.8616,-71.3965,30,662.4874,16.1597,0.0040
2018-06-02T19:58:47,17.9535,-91.9779,10,475.1534,37.4311,0.0359
2018-06-02T19:58:47,17.9532,-91.9574,10,618.5381,35.5172,0.0055
2018-06-02T19:58:47,17.8831,-93.6600,10,453.6182,30.4136,0.0425
2018-06-02T19:58:47,17.8343,-93.1151,10,981.3948,65.6505,0.0040
2018-06-02T19:58:47,17.9043,-100.5030,10,449.4979,35.3221,0.0526
2018-06-02T19:58:47,17.3392,-95.1947,215,,6.8360,0.0040
2018-06-02T19:58:47,17.0865,-95.3490,100,,30.0747,0.0040
2018-06-02T19:58:47,16.8895,-95.3012,100,,24.8122,0.0040
2018-06-02T19:58:47,16.6759,-94.2727,215,,18.7491,0.0040
2018-06-02T19:58:47,15.9254,-85.8835,10,526.9037,29.1035,0.0129
2018-06-02T19:58:47,15.9060,-85.8822,13,,33.8115,
2018-06-02T19:58:47,15.8502,-86.1115,14,,24.6688,
2018-06-02T19:58:47,15.8428,-85.2970,10,476.2521,30.2076,0.0284
2018-06-02T19:58:47,15.8020,-88.8682,100,,11.9312,0.0040
2018-06-02T19:58:47,15.7690,-85.6795,10,556.2948,32.8177,0.0100
2018-06-02T19:58:47,15.7688,-85.6601,10,557.6682,37.0704,0.0111
2018-06-02T19:58:47,15.6515,-85.4786,10,406.7572,25.8556,0.0942
2018-06-02T19:58:47,15.5401,-85.9554,13,,38.1767,
2018-06-02T19:58:47,15.4622,-85.8536,100,,13.6637,0.0040
2018-06-02T19:58:47,15.4388,-85.3883,100,,23.5447,0.0040
2018-06-02T19:58:47,15.4256,-86.0643,215,,3.6180,0.0040
2018-06-02T19:58:47,15.1090,-85.0221,215,,16.2010,0.0040
2018-06-02T19:58:47,15.1007,-83.9472,10,507.4561,35.0892,0.0204
2018-06-02T19:58:47,14.9007,-87.4658,10,409.9435,34.8746,0.1178
2018-06-03T19:58:48,48.5041,-67.4822,33,,56.4560,
2018-06-03T19:58:48,48.3527,-79.2061,100,,13.3239,0.0040
2018-06-03T19:58:48,48.0716,-71.9419,30,641.1171,78.5190,0.0099
2018-06-03T19:58:48,48.0718,-71.9131,30,562.1730,54.6451,0.0156
2018-06-03T19:58:48,48.0379,-71.9441,30,510.6974,52.0857,0.0289
2018-06-03T19:58:48,49.5526,-113.7494,220,,30.3042,0.0040
